"classid","classname","trainerid","scheduledate","starttime","endtime","capacity"
1,"Morning Zumba",1,"2025-07-01","07:00:00","08:00:00",20
2,"Strength Circuit",2,"2025-07-01","09:00:00","10:00:00",15
3,"Sunrise Yoga",3,"2025-07-01","06:00:00","07:00:00",25
4,"Evening Zumba",1,"2025-07-01","18:00:00","19:00:00",20
5,"Core Blast",10,"2025-07-01","14:00:00","15:00:00",15
6,"Power Yoga",3,"2025-07-01","17:00:00","18:00:00",20
7,"HIIT Rush",6,"2025-07-01","10:00:00","11:00:00",25
8,"Afternoon Yoga",3,"2025-06-28","14:00:00","15:00:00",25
9,"HIIT Blast",2,"2025-06-28","17:00:00","18:00:00",20
10,"Evening Pilates",1,"2025-06-28","18:30:00","19:30:00",15
11,"Core Crusher",2,"2025-06-29","07:00:00","08:00:00",20
12,"Bootcamp Basics",1,"2025-06-29","08:30:00","09:30:00",20
13,"Power Yoga",3,"2025-06-29","10:00:00","11:00:00",25
14,"Zumba Groove",1,"2025-06-30","17:00:00","18:00:00",20
15,"Bodyweight Burn",2,"2025-06-30","06:30:00","07:30:00",15
16,"Dance Fitness",1,"2025-06-30","19:00:00","20:00:00",20
17,"Cardio Kick",2,"2025-07-01","08:00:00","09:00:00",20
18,"Evening Yoga Flow",3,"2025-07-01","18:00:00","19:00:00",25
19,"Strength Express",2,"2025-07-01","09:30:00","10:30:00",15
20,"Stretch & Flex",3,"2025-07-02","07:00:00","08:00:00",25
21,"Cardio Zumba",1,"2025-07-02","18:00:00","19:00:00",20
22,"Morning Flow",3,"2025-07-02","06:00:00","07:00:00",30
23,"Upper Body Strength",2,"2025-07-03","08:00:00","09:00:00",15
24,"Core Conditioning",2,"2025-07-03","17:30:00","18:30:00",20
25,"Step Aerobics",1,"2025-07-03","19:00:00","20:00:00",25
26,"Balance & Stability",3,"2025-07-04","10:00:00","11:00:00",20
27,"Strength & Sweat",2,"2025-07-04","06:00:00","07:00:00",20
28,"Functional Fitness",2,"2025-07-04","07:30:00","08:30:00",25
29,"Sunset Stretch",3,"2025-07-04","18:00:00","19:00:00",20
30,"Strength Endurance",2,"2025-07-05","06:00:00","07:00:00",15
31,"Vinyasa Yoga",3,"2025-07-05","07:30:00","08:30:00",25
32,"Mobility Session",2,"2025-07-05","09:00:00","10:00:00",20
33,"Evening Shred",2,"2025-07-05","18:00:00","19:00:00",20
34,"Dynamic Warmups",1,"2025-07-06","06:30:00","07:30:00",15
35,"Morning HIIT",2,"2025-07-06","08:00:00","09:00:00",20
36,"Lunch Break Burn",3,"2025-07-06","12:00:00","13:00:00",25
37,"Weekend Warrior",2,"2025-07-06","17:00:00","18:00:00",20
