"trainerid","availabledate","starttime","endtime"
1,"2025-07-01","07:00:00","08:00:00"
1,"2025-07-05","08:00:00","09:00:00"
1,"2025-07-09","08:00:00","09:00:00"
1,"2025-07-13","08:00:00","09:00:00"
2,"2025-07-01","09:00:00","10:00:00"
2,"2025-07-05","10:00:00","11:00:00"
2,"2025-07-09","10:00:00","11:00:00"
2,"2025-07-13","10:00:00","11:00:00"
3,"2025-07-01","18:00:00","19:00:00"
3,"2025-07-05","19:00:00","20:00:00"
3,"2025-07-09","19:00:00","20:00:00"
3,"2025-07-13","19:00:00","20:00:00"
4,"2025-07-02","07:00:00","08:00:00"
4,"2025-07-06","07:00:00","08:00:00"
4,"2025-07-10","07:00:00","08:00:00"
4,"2025-07-14","07:00:00","08:00:00"
5,"2025-07-02","09:00:00","10:00:00"
5,"2025-07-06","09:00:00","10:00:00"
5,"2025-07-10","09:00:00","10:00:00"
5,"2025-07-14","09:00:00","10:00:00"
6,"2025-07-02","18:00:00","19:00:00"
6,"2025-07-06","18:00:00","19:00:00"
6,"2025-07-10","18:00:00","19:00:00"
6,"2025-07-14","18:00:00","19:00:00"
7,"2025-07-03","07:00:00","08:00:00"
7,"2025-07-07","07:00:00","08:00:00"
7,"2025-07-11","07:00:00","08:00:00"
7,"2025-07-15","07:00:00","08:00:00"
8,"2025-07-03","09:00:00","10:00:00"
8,"2025-07-07","09:00:00","10:00:00"
8,"2025-07-11","09:00:00","10:00:00"
8,"2025-07-15","09:00:00","10:00:00"
9,"2025-07-01","13:00:00","14:00:00"
9,"2025-07-03","18:00:00","19:00:00"
9,"2025-07-07","18:00:00","19:00:00"
9,"2025-07-11","18:00:00","19:00:00"
9,"2025-07-15","18:00:00","19:00:00"
10,"2025-07-04","07:00:00","08:00:00"
10,"2025-07-08","07:00:00","08:00:00"
10,"2025-07-12","07:00:00","08:00:00"
10,"2025-07-16","07:00:00","08:00:00"
